TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;PRICE CONDENSATE PUMP;HEATING;JUNCTION_BOX;CONDENSATE_PUMP;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GADC CX 035.1/41E/HDC7E.TNNN;GADC CX;035.1/41E/HDC7E.TNNN;n/a;finoox;203-1AWR.2HK.1H5.RL2N-C26.01.0800.000;GADC CX 035.1-08_4-07-EE51-CC-E80AR-2909_PC;10603;E;4;1;2909;Axial;8,29;6,826;67,49;3604;535;7;VT03192U.1;0,086;0,18;A+;27,27;49,57;11,3;(2x) 400V 3~N+PE - 9,7kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;134,9;16;22,23;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002375;6;0;2968;2;150;2940;no;no;C;E;Powder coated;7;16;8;yes;piece;1
GADC CX 035.2/2WN/DEE4A.TNPN;GADC CX;035.2/2WN/DEE4A.TNPN;n/a;finoox;203-1AK4.2PV.1HA.RJVT-C26.01.0000.010;GADC CX 035.2-04_2-04-A0W-CL-E80AR-3123_Epoxy;4233;A;2;1;3123;Axial;8,119;6,481;35,67;4581;1340;12;VT03207;0,31;0,73;D;55,68;77,52;3,6;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;318;1296;963;68,4;16;16;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;500;;;;;;;;no;no;L;E;Epoxy coated aluminum;4;20;4;yes;piece;1
GADC CX 035.1/21M/DEA7A.TNNN;GADC CX;035.1/21M/DEA7A.TNNN;n/a;finoox;203-1AAN.2HG.1HA.RJTC-C26.01.0000.000;GADC CX 035.1-04_2-07-AE21-CL-E80AR-2906_Alu;4361;A;2;1;2906;Axial;6,212;5,001;21,09;4791;1310;13;VT03192U.1;0,211;0,98;B;45,95;67,79;3,6;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;318;1296;963;62,4;16;16;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;500;;;;;;;;no;no;L;E;Aluminum;7;20;4;yes;piece;1
GADC CX 035.1/11L/HEA7A.TNNN;GADC CX;035.1/11L/HEA7A.TNNN;n/a;finoox;203-1A8N.2HH.1HT.RJVC-C26.01.0000.000;GADC CX 035.1-08_1-07-AE31-CL-E80AR-2907_Alu;3492;A;1;1;2907;Axial;3,574;2,948;21,09;1582;930;6;VT03192U.1;0,049;0,59;A+;34,21;55,78;3,7;;230/400V+N+PE - 3,3kW;AY7.002388;DualCompact_1_04_1_o;1096;1026;318;616;963;47,5;16;16;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;611;;;;;;;;no;no;L;E;Aluminum;7;40;8;yes;piece;1
GADC CX 035.1/11L/DDC7E.TNNN;GADC CX;035.1/11L/DDC7E.TNNN;n/a;finoox;203-1AQT.2HH.1JL.00NN-C26.01.0800.000;GADC CX 035.1-04_1-07-EE31-CC-E80AR-2907_PC;4125;E;1;1;2907;Axial;1,992;1,618;8,44;1549;930;6;VT03192U.1;0,049;0,59;A;33,85;55,37;1,5;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;268;616;963;38,2;9,52;9,52;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;C;E;Powder coated;7;32;4;yes;piece;1
GADC CX 035.2/3XE/FEC7A.TNPN;GADC CX;035.2/3XE/FEC7A.TNPN;n/a;finoox;203-1AVS.2Q0.1HD.RL2P-C26.01.0000.010;GADC CX 035.2-06_3-07-A0X-CL-E80AR-3128_PC;8212;A;3;1;3128;Axial;6,609;5,441;47,46;3380;515;7;VT03208;0,149;0,23;A;40,18;62,28;8,2;;400V 3~N+PE - 7,7kW;AY7.002386;DualCompact_3_08_1_o;2456;1026;318;;963;103,9;16;22,23;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;60;X;;;633;;;;;;;;no;no;L;E;Powder coated;7;14;6;yes;piece;1
GADC CX 035.2/1WL/HEA4A.TNPN;GADC CX;035.2/1WL/HEA4A.TNPN;n/a;finoox;203-1A96.2PX.1JS.00NN-C26.01.0000.010;GADC CX 035.2-08_1-04-A0W-CL-E80AR-3125_Alu;3346;A;1;1;3125;Axial;3,756;3,062;35,67;1392;850;5;VT03208;0,062;0,3;A;42,94;64,51;3,7;;230/400V+N+PE - 3,3kW;AY7.002388;DualCompact_1_04_1_o;1096;1026;318;616;963;48,7;9,52;9,52;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;611;;;;;;;;no;no;L;E;Aluminum;4;80;8;yes;piece;1
GADC CX 035.1/11N/DEA7E.TNPN;GADC CX;035.1/11N/DEA7E.TNPN;n/a;finoox;203-1A8K.2HF.1JQ.00NN-C26.01.0800.010;GADC CX 035.1-04_1-07-EE11-CL-E80AR-2905_Alu;3514;E;1;1;2905;Axial;3,38;2,713;10,55;2837;1475;11;VT03192U.1;0,163;1,35;C;46,92;68,5;1,9;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;318;616;963;42,5;9,52;9,52;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;L;E;Aluminum;7;40;4;yes;piece;1
GADC CX 035.1/21N/FEA7A.TNPN;GADC CX;035.1/21N/FEA7A.TNPN;n/a;finoox;203-1AAQ.2HF.1HD.RL2P-C26.01.0000.010;GADC CX 035.1-06_2-07-AE11-CL-E80AR-2905_Alu;5748;A;2;1;2905;Axial;8,628;7,025;31,64;5451;1475;14;VT03192U.1;0,326;1,35;C;48,98;70,82;5,6;;400V 3~N+PE - 5,1kW;AY7.002385;DualCompact_2_04_1_o;1776;1026;318;1296;963;71,7;16;22,23;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;564;;;;;;;;no;no;L;E;Aluminum;7;14;6;yes;piece;1
GADC CX 035.1/31M/DEA7E.TNNN;GADC CX;035.1/31M/DEA7E.TNNN;n/a;finoox;203-1ACT.2HG.1H4.RL2R-C26.01.0800.000;GADC CX 035.1-04_3-07-EE21-CL-E80AR-2906_Alu;7639;E;3;1;2906;Axial;9,161;7,42;31,64;7187;1310;15;VT03192U.1;0,317;0,98;B;47,45;69,55;5,6;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;94;16;22,23;n/a;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;L;E;Aluminum;7;10;4;yes;piece;1
GADC CX 035.2/1WL/HEA7E.TNNN;GADC CX;035.2/1WL/HEA7E.TNNN;n/a;finoox;203-1A8P.2PX.1HT.RJVC-C26.01.0800.000;GADC CX 035.2-08_1-07-E0W-CL-E80AR-3125_Alu;3877;E;1;1;3125;Axial;3,507;2,895;21,09;1544;850;6;VT03208;0,062;0,3;A;42,94;64,51;3,7;230/400V+N+PE - 3,3kW;;;DualCompact_1_04_1_o;1096;1026;318;616;963;54,5;16;16;n/a;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI09280275230;H01HC09300500230;;AY7.002376;8;0;928;2;150;930;no;no;L;E;Aluminum;7;40;8;yes;piece;1
GADC CX 035.2/1WE/FDC4E.TNNN;GADC CX;035.2/1WE/FDC4E.TNNN;n/a;finoox;203-1AQD.2PY.1JM.00NN-C26.01.0800.000;GADC CX 035.2-06_1-04-E0W-CC-E80AR-3126_PC;4102;E;1;1;3126;Axial;2,4;1,968;21,4;1027;585;4;VT03208;0,048;0,22;B;35,98;57,51;2,2;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;268;616;963;43,1;9,52;9,52;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;C;E;Powder coated;4;48;6;yes;piece;1
GADC CX 035.2/3XN/FEA4A.TNNN;GADC CX;035.2/3XN/FEA4A.TNNN;n/a;finoox;203-1ADC.2PW.1HD.RL2J-C26.01.0000.000;GADC CX 035.2-06_3-04-A0X-CL-E80AR-3124_Alu;6875;A;3;1;3124;Axial;15,78;12,718;80,25;7171;1470;15;VT03207;0,62;0,93;D;58,18;80,28;8,2;;400V 3~N+PE - 7,7kW;AY7.002386;DualCompact_3_08_1_o;2456;1026;318;;963;108,5;16;22,23;n/a;n/a;Inclusive;241;No;Yes;No;350;AC motor;60;X;;;633;;;;;;;;no;no;L;E;Aluminum;4;14;6;yes;piece;1
GADC CX 035.1/11E/DEA7E.TNPN;GADC CX;035.1/11E/DEA7E.TNPN;n/a;finoox;203-1A8K.2HK.1JQ.00NN-C26.01.0800.010;GADC CX 035.1-04_1-07-EE51-CL-E80AR-2909_Alu;3514;E;1;1;2909;Axial;1,796;1,473;10,55;1063;535;4;VT03192U.1;0,021;0,18;A+;25,27;46,84;1,9;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;318;616;963;42,5;9,52;9,52;n/a;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;L;E;Aluminum;7;40;4;yes;piece;1
GADC CX 035.2/4WN/DDA4E.TNNN;GADC CX;035.2/4WN/DDA4E.TNNN;n/a;finoox;203-1AED.2PV.1HC.RL2K-C26.01.0800.000;GADC CX 035.2-04_4-04-E0W-CC-E80AR-3123_Alu;7422;E;4;1;3123;Axial;14,277;11,425;57,07;8303;1340;17;VT03207;0,641;0,73;D;58,23;80,53;5,8;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;119,6;16;22,23;n/a;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Aluminum;4;8;4;yes;piece;1
GADC CX 035.1/21N/HDE4A.TNPN;GADC CX;035.1/21N/HDE4A.TNPN;n/a;finoox;203-1AJ6.2HF.1HJ.RJVR-C26.01.0000.010;GADC CX 035.1-08_2-04-AE11-CC-E80AR-2905_Epoxy;5105;A;2;1;2905;Axial;9,372;7,534;57,07;3971;1475;12;VT03192U.1;0,319;1,35;C;51;72,8;5,7;;400V 3~N+PE - 5,1kW;AY7.002385;DualCompact_2_04_1_o;1776;1026;268;1296;963;68,8;16;16;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;564;;;;;;;;no;no;C;E;Epoxy coated aluminum;4;32;8;yes;piece;1
GADC CX 035.2/3WE/DEA7A.TNPN;GADC CX;035.2/3WE/DEA7A.TNPN;n/a;finoox;203-1ACS.2PY.1HA.RJTC-C26.01.0000.010;GADC CX 035.2-04_3-07-A0W-CL-E80AR-3126_Alu;5797;A;3;1;3126;Axial;6,359;5,144;31,64;3930;585;8;VT03208;0,142;0,22;A;40,18;62,28;5,3;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;318;;963;90,5;16;16;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;50;W;;;552;;;;;;;;no;no;L;E;Aluminum;7;20;4;yes;piece;1
GADC CX 035.2/3XE/FEC4E.TNPN;GADC CX;035.2/3XE/FEC4E.TNPN;n/a;finoox;203-1AV9.2Q0.1HP.RJV8-C26.01.0800.010;GADC CX 035.2-06_3-04-E0X-CL-E80AR-3128_PC;8043;E;3;1;3128;Axial;7,086;5,756;80,25;3048;515;7;VT03208;0,151;0,23;B;40,18;62,28;7,9;400V 3~N+PE - 7,7kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;111,7;16;16;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;60;X;H16GI22880825230;H01HC22901300230;;AY7.002374;6;0;2288;2;150;2290;no;no;L;E;Powder coated;4;30;6;yes;piece;1
GADC CX 035.2/3WL/DDA4E.TNNN;GADC CX;035.2/3WL/DDA4E.TNNN;n/a;finoox;203-1AC9.2PX.1HB.RJTB-C26.01.0800.000;GADC CX 035.2-04_3-04-E0W-CC-E80AR-3125_Alu;5497;E;3;1;3125;Axial;8,387;6,724;42,8;4208;850;10;VT03208;0,186;0,3;B;47,22;69,28;4,3;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;268;;963;87,9;16;16;n/a;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;50;W;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;C;E;Aluminum;4;16;4;yes;piece;1
GADC CX 035.1/31S/DEA4A.TNNN;GADC CX;035.1/31S/DEA4A.TNNN;n/a;finoox;203-1ADA.2HJ.1HA.RJVT-C26.01.0000.000;GADC CX 035.1-04_3-04-AE41-CL-E80AR-2908_Alu;6268;A;3;1;2908;Axial;8,169;6,577;53,5;3695;695;8;VT03192U.1;0,091;0,25;A+;33,04;55,14;5,3;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;318;;963;86,6;16;16;n/a;n/a;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;552;;;;;;;;no;no;L;E;Aluminum;4;20;4;yes;piece;1
GADC CX 035.1/41S/FEE4A.TNPN;GADC CX;035.1/41S/FEE4A.TNPN;n/a;finoox;203-1APE.2HJ.1HD.RL2J-C26.01.0000.010;GADC CX 035.1-06_4-04-AE41-CL-E80AR-2908_Epoxy;9318;A;4;1;2908;Axial;12,27;10,057;107;4653;695;9;VT03192U.1;0,124;0,25;A+;32,77;55,11;10,7;;(2x) 400V 3~N+PE - 9,7kW;AY7.002387;DualCompact_4_08_1_o;3136;1026;318;;963;129,4;16;22,23;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;714;;;;;;;;no;no;L;E;Epoxy coated aluminum;4;14;6;yes;piece;1
GADC CX 035.1/41M/FDA4E.TNNN;GADC CX;035.1/41M/FDA4E.TNNN;n/a;finoox;203-1AEF.2HG.1HH.RL2G-C26.01.0800.000;GADC CX 035.1-06_4-04-EE21-CC-E80AR-2906_Alu;8916;E;4;1;2906;Axial;16,624;13,408;85,6;7400;1310;15;VT03192U.1;0,453;0,98;C;45,95;68,25;8,6;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;121;16;22,23;n/a;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Aluminum;4;12;6;yes;piece;1
GADC CX 035.1/31M/FDC7E.TNNN;GADC CX;035.1/31M/FDC7E.TNNN;n/a;finoox;203-1AUR.2HG.1HH.RL2G-C26.01.0800.000;GADC CX 035.1-06_3-07-EE21-CC-E80AR-2906_PC;8500;E;3;1;2906;Axial;9,639;7,815;37,96;6238;1310;15;VT03192U.1;0,331;0,98;B;45,1;67,16;6,5;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;268;;963;93,4;16;22,23;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;C;E;Powder coated;7;12;6;yes;piece;1
GADC CX 035.2/3WL/HEC7E.TNPN;GADC CX;035.2/3WL/HEC7E.TNPN;n/a;finoox;203-1AVV.2PX.1HU.RL2L-C26.01.0800.010;GADC CX 035.2-08_3-07-E0W-CL-E80AR-3125_PC;9468;E;3;1;3125;Axial;9,965;8,149;63,27;4632;850;10;VT03208;0,185;0,3;A;47,18;69,28;10,7;(2x) 400V 3~N+PE - 9,3kW;;;DualCompact_3_08_1_o;2456;1026;318;;963;125,3;16;22,23;n/a;Inclusive;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;50;W;H16GI22880825230;H01HC22901300230;;AY7.002378;8;0;2288;2;150;2290;no;no;L;E;Powder coated;7;20;8;yes;piece;1
GADC CX 035.1/41M/HDA4E.TNNN;GADC CX;035.1/41M/HDA4E.TNNN;n/a;finoox;203-1AEH.2HG.1H6.RL37-C26.01.0800.000;GADC CX 035.1-08_4-04-EE21-CC-E80AR-2906_Alu;9575;E;4;1;2906;Axial;17,691;14,427;114,14;6862;1310;14;VT03192U.1;0,459;0,98;B;46,88;69,18;11,4;(2x) 400V 3~N+PE - 9,7kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;136,3;16;22,23;n/a;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002375;6;0;2968;2;150;2940;no;no;C;E;Aluminum;4;10;8;yes;piece;1
GADC CX 035.1/21L/DDE4A.TNPN;GADC CX;035.1/21L/DDE4A.TNPN;n/a;finoox;203-1AJ2.2HH.1HB.RJTB-C26.01.0000.010;GADC CX 035.1-04_2-04-AE31-CC-E80AR-2907_Epoxy;4417;A;2;1;2907;Axial;5,531;4,457;28,53;2860;930;8;VT03192U.1;0,096;0,59;A;35,45;57,25;2,9;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;268;1296;963;55,6;16;16;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;500;;;;;;;;no;no;C;E;Epoxy coated aluminum;4;16;4;yes;piece;1
GADC CX 035.1/11L/FEC7A.TNNN;GADC CX;035.1/11L/FEC7A.TNNN;n/a;finoox;203-1ARW.2HH.1JR.00NN-C26.01.0000.000;GADC CX 035.1-06_1-07-AE31-CL-E80AR-2907_PC;4110;A;1;1;2907;Axial;2,944;2,385;15,82;1627;930;6;VT03192U.1;0,049;0,59;A+;34,8;56,37;2,8;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;318;616;963;42,9;9,52;9,52;n/a;Inclusive;Inclusive;241;No;Yes;No;350;EC motor;5060;1;;;545;;;;;;;;no;no;L;E;Powder coated;7;60;6;yes;piece;1
GADC CX 035.2/4XN/FDA7E.TNNN;GADC CX;035.2/4XN/FDA7E.TNNN;n/a;finoox;203-1ADX.2PW.1HH.RL2G-C26.01.0800.000;GADC CX 035.2-06_4-07-E0X-CC-E80AR-3124_Alu;7920;E;4;1;3124;Axial;14,87;11,987;50,62;9415;1470;20;VT03207;0,831;0,93;D;59,23;81,53;8,6;400V 3~N+PE - 7,5kW;;;DualCompact_4_08_1_o;3136;1026;268;;963;131,5;16;22,23;n/a;n/a;Inclusive;241;Yes;Yes;No;350;AC motor;60;X;H16GI29681100230;H01HC29401500230;;AY7.002371;4;0;2968;2;150;2940;no;no;C;E;Aluminum;7;12;6;yes;piece;1
GADC CX 035.2/4WN/FEE7E.TNPN;GADC CX;035.2/4WN/FEE7E.TNPN;n/a;finoox;203-1APZ.2PV.1HQ.RL38-C26.01.0800.010;GADC CX 035.2-06_4-07-E0W-CL-E80AR-3123_Epoxy;9024;E;4;1;3123;Axial;16,095;12,993;63,27;9428;1340;17;VT03207;0,614;0,73;C;58,19;80,53;10,8;(2x) 400V 3~N+PE - 9,7kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;150,6;16;22,23;Inclusive;n/a;Inclusive;Inclusive;Yes;Yes;Yes;350;AC motor;50;W;H16GI29681100230;H01HC29401500230;;AY7.002375;6;0;2968;2;150;2940;no;no;L;E;Epoxy coated aluminum;7;10;6;yes;piece;1
GADC CX 035.1/11N/FDC4E.TNNN;GADC CX;035.1/11N/FDC4E.TNNN;n/a;finoox;203-1AQD.2HF.1JM.00NN-C26.01.0800.000;GADC CX 035.1-06_1-04-EE11-CC-E80AR-2905_PC;4328;E;1;1;2905;Axial;3,997;3,203;21,4;2139;1475;9;VT03192U.1;0,16;1,35;D;46,52;68,05;2,2;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;268;616;963;41,6;9,52;9,52;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;C;E;Powder coated;4;48;6;yes;piece;1
GADC CX 035.2/1XN/FEC7A.TNNN;GADC CX;035.2/1XN/FEC7A.TNNN;n/a;finoox;203-1ARW.2PW.1HP.RJVC-C26.01.0000.000;GADC CX 035.2-06_1-07-A0X-CL-E80AR-3124_PC;4042;A;1;1;3124;Axial;3,945;3,216;15,82;2581;1470;10;VT03207;0,201;0,93;D;53,94;75,51;2,8;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;318;616;963;46,2;16;16;n/a;Inclusive;Inclusive;241;No;Yes;No;350;AC motor;60;X;;;545;;;;;;;;no;no;L;E;Powder coated;7;30;6;yes;piece;1
GADC CX 035.2/1XL/FEA4A.TNPN;GADC CX;035.2/1XL/FEA4A.TNPN;n/a;finoox;203-1A94.2PZ.1JR.00NN-C26.01.0000.010;GADC CX 035.2-06_1-04-A0X-CL-E80AR-3127_Alu;3115;A;1;1;3127;Axial;4,019;3,246;26,75;1666;930;6;VT03208;0,083;0,39;B;46,94;68,51;2,8;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;318;616;963;44,5;9,52;9,52;n/a;n/a;Inclusive;Inclusive;No;Yes;Yes;350;AC motor;60;X;;;545;;;;;;;;no;no;L;E;Aluminum;4;60;6;yes;piece;1
GADC CX 035.2/1XL/FDC7E.TNNN;GADC CX;035.2/1XL/FDC7E.TNNN;n/a;finoox;203-1AQV.2PZ.1JM.00NN-C26.01.0800.000;GADC CX 035.2-06_1-07-E0X-CC-E80AR-3127_PC;4096;E;1;1;3127;Axial;2,795;2,261;12,65;1657;930;7;VT03208;0,083;0,39;B;46,98;68,51;2,2;230V 1~N+PE - 2,2kW;;;DualCompact_1_04_1_o;1096;1026;268;616;963;42,9;9,52;9,52;n/a;Inclusive;Inclusive;241;Yes;Yes;No;350;AC motor;60;X;H16GI09280275230;H01HC09300500230;;AY7.002368;4;0;928;2;150;930;no;no;C;E;Powder coated;7;48;6;yes;piece;1
GADC CX 035.1/31S/DEC7A.TNPN;GADC CX;035.1/31S/DEC7A.TNPN;n/a;finoox;203-1AVQ.2HJ.1HA.RJTC-C26.01.0000.010;GADC CX 035.1-04_3-07-AE41-CL-E80AR-2908_PC;7570;A;3;1;2908;Axial;5,952;4,814;31,64;3968;695;8;VT03192U.1;0,089;0,25;A+;34,67;56,77;5,3;;400V 3~N+PE - 6,0kW;AY7.002382;DualCompact_3_08_1_o;2456;1026;318;;963;86;16;16;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;552;;;;;;;;no;no;L;E;Powder coated;7;20;4;yes;piece;1
GADC CX 035.1/11E/HDC7A.TNPN;GADC CX;035.1/11E/HDC7A.TNPN;n/a;finoox;203-1AQW.2HK.1JP.00NN-C26.01.0000.010;GADC CX 035.1-08_1-07-AE51-CC-E80AR-2909_PC;4335;A;1;1;2909;Axial;2,066;1,699;16,87;901;535;4;VT03192U.1;0,022;0,18;A+;22,03;43,55;2,9;;230/400V+N+PE - 2,8kW;AY7.002384;DualCompact_1_04_1_o;1096;1026;268;616;963;41;9,52;9,52;n/a;Inclusive;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;545;;;;;;;;no;no;C;E;Powder coated;7;64;8;yes;piece;1
GADC CX 035.1/41N/FEE7E.TNNN;GADC CX;035.1/41N/FEE7E.TNNN;n/a;finoox;203-1APZ.2HF.1HQ.RL2U-C26.01.0800.000;GADC CX 035.1-06_4-07-EE11-CL-E80AR-2905_Epoxy;9750;E;4;1;2905;Axial;17,603;14,213;63,27;10901;1475;20;VT03192U.1;0,652;1,35;C;51,49;73,83;10,8;(2x) 400V 3~N+PE - 9,7kW;;;DualCompact_4_08_1_o;3136;1026;318;;963;139,3;16;22,23;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI29681100230;H01HC29401500230;;AY7.002375;6;0;2968;2;150;2940;no;no;L;E;Epoxy coated aluminum;7;10;6;yes;piece;1
GADC CX 035.1/21S/DDE7A.TNPN;GADC CX;035.1/21S/DDE7A.TNPN;n/a;finoox;203-1AJL.2HJ.1JL.00NN-C26.01.0000.010;GADC CX 035.1-04_2-07-AE41-CC-E80AR-2908_Epoxy;4219;A;2;1;2908;Axial;3,67;2,953;16,87;2438;695;7;VT03192U.1;0,061;0,25;A+;31,34;53,14;2,8;;230/400V+N+PE - 4,0kW;AY7.002381;DualCompact_2_04_1_o;1776;1026;268;1296;963;54,9;9,52;9,52;Inclusive;n/a;Inclusive;Inclusive;No;Yes;Yes;350;EC motor;5060;1;;;500;;;;;;;;no;no;C;E;Epoxy coated aluminum;7;32;4;yes;piece;1
GADC CX 035.1/31S/FDE7E.TNNN;GADC CX;035.1/31S/FDE7E.TNNN;n/a;finoox;203-1ALT.2HJ.1HG.RJV7-C26.01.0800.000;GADC CX 035.1-06_3-07-EE41-CC-E80AR-2908_Epoxy;6687;E;3;1;2908;Axial;6,927;5,613;37,96;3506;695;8;VT03192U.1;0,093;0,25;A+;31,91;53,96;6,3;400V 3~N+PE - 6,0kW;;;DualCompact_3_08_1_o;2456;1026;268;;963;92,5;16;16;Inclusive;n/a;Inclusive;241;Yes;Yes;No;350;EC motor;5060;1;H16GI22880825230;H01HC22901300230;;AY7.002370;4;0;2288;2;150;2290;no;no;C;E;Epoxy coated aluminum;7;24;6;yes;piece;1
