TYPE NAME;RANGE NAME;TYPE;UI;HX_TECHNOLOGY;PRODUCT_CODE;INTERNAL MODEL TYPE;PRICE;DEFROST;FANS PER ROW;FAN ROWS;FAN CONNECTION ID;FAN IMPELLER TYPE;DX Evap (CO2 SC1);DX Evap (CO2 SC2);DX Evap (CO2 SC3);SURFACE (m2);AIR VOLUME FLOW (m3/h);FAN SPEED (rpm);AIR THROW (m);FAN ERP CODE;POWER CONSUMPTION (kW);FAN CURRENT NOMINAL (A);ENERGY EFFICIENCY CLASS;UNIT SOUND PRESSURE (dB(A),3m);UNIT SOUND POWER (dB(A));TUBE VOLUME (L);EL MOUNTED POWERCONNECTION;EL LOOSE POWERCONNECTION;EL DEFROST LOOSE ERP CODE;SKETCH NAME;UNIT LENGTH;UNIT WIDTH;UNIT HEIGHT;DIMENSION E;DIMENSION F;NET WEIGHT (KG);INLET OUTER DIAM (mm);OUTLET OUTER DIAM (mm);PRICE EPOXY;PRICE COIL DEFENDER;PRICE WIRING TO JUNCTION BOX;HEATING;JUNCTION_BOX;FAN DIAMETER;FAN TECHNOLOGY;POWER FREQUENCY;POWER CONNECTION;EL DEFR MOUNTED COIL ERP CODE;EL DEFR MOUNTED TRAY ERP CODE;EL DEFROST LOOSE PRICE;EL DEFR MOUNTED SET ERP CODE;EL DEFR MOUNTED NO COIL;EL DEFR MOUNTED WIDTH COIL;EL DEFR MOUNTED LENGTH COIL;EL DEFR MOUNTED NO TRAY;EL DEFR MOUNTED WIDTH TRAY;EL DEFR MOUNTED LENGTH TRAY;STOCK UNIT;CATALOG_RECOMMENDATION;MODULESIZELETTER;FIN TYPE;FIN MATERIAL;FIN SPACING;NUMBER OF PASSES;TUBE ROWS;ARTICLE WITH SERIAL NUMBER;UNIT OF QUANTITY;PACKAGING UNIT
GAMC CX 020.1/21M/DXA7A.TNNN;GAMC CX;020.1/21M/DXA7A.TNNN;n/a;finoox;256-1FY2.0YF.3Z1.00NN-C26.01.0000.000;GAMC-CX-020.1-D/2-7.0-AN1-CC-E80AC-1103;978;A;2;1;1103;Axial;1,149;0,794;0,676;2,48;661;1500;7;VT03033U;0,039;0,16;C;44,68;65,8;0,4;;230V-1~N-220W;AY7.004850;MiniCompact_2_04_1_rl;950;450;157;902;414;8,8;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;104;;;;;;;;no;no;C;E;Aluminum;7;8;4;yes;piece;1
GAMC CX 020.1/21N/DXA4E.TNNN;GAMC CX;020.1/21N/DXA4E.TNNN;n/a;finoox;256-1HL4.0YE.3Z1.00NN-C26.01.0800.000;GAMC-CX-020.1-D/2-4.0-EN1-CC-E80AC-1102;1111;E;2;1;1102;Axial;1,66;1,132;0,955;4,2;705;2000;8;VT03033U;0,067;0,26;E;50,16;71,28;0,4;230V-1~N-220W;;;MiniCompact_2_04_1_rl;950;450;157;902;414;9,6;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H17LA09100220230;0;;AY7.004850.1;1;75;910;0;;;no;no;C;E;Aluminum;4;8;4;yes;piece;1
GAMC CX 020.1/11N/DYA4A.TNNN;GAMC CX;020.1/11N/DYA4A.TNNN;n/a;finoox;256-1FY0.0YE.3Z1.00NN-C26.01.0000.000;GAMC-CX-020.1-D/1-4.0-AN1-LC-E80AC-1102;751;A;1;1;1102;Axial;1,137;0,784;0,674;3,15;461;2000;6;VT03033U;0,034;0,26;D;45,34;66,37;0,3;;230V-1~N-170W;AY7.004849;MiniCompact_1_04_1_rl;750;450;157;702;414;6,1;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;100;;;;;;;;no;no;C;E;Aluminum;4;8;4;yes;piece;1
GAMC CX 020.1/11N/DXA4E.TNNN;GAMC CX;020.1/11N/DXA4E.TNNN;n/a;finoox;256-1HKW.0YE.3Z1.00NN-C26.01.0800.000;GAMC-CX-020.1-D/1-4.0-EN1-CC-E80AC-1102;840;E;1;1;1102;Axial;0,779;0,548;0,467;2,1;353;2000;5;VT03033U;0,033;0,26;E;47,33;68,27;0,2;230V-1~N-120W;;;MiniCompact_1_04_1_rl;550;450;157;502;414;5,5;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H17LA05100120230;0;;AY7.004848.1;1;75;510;0;;;no;no;C;E;Aluminum;4;8;4;yes;piece;1
GAMC CX 020.1/11M/DYA4E.TNNN;GAMC CX;020.1/11M/DYA4E.TNNN;n/a;finoox;256-1HL0.0YF.3Z1.00NN-C26.01.0800.000;GAMC-CX-020.1-D/1-4.0-EN1-LC-E80AC-1103;891;E;1;1;1103;Axial;0,998;0,691;0,597;3,15;366;1500;5;VT03033U;0,02;0,16;C;41,28;62,32;0,3;230V-1~N-170W;;;MiniCompact_1_04_1_rl;750;450;157;702;414;6,7;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H17LA07100170230;0;;AY7.004849.1;1;75;710;0;;;no;no;C;E;Aluminum;4;8;4;yes;piece;1
GAMC CX 020.1/21M/HYA4A.TNNN;GAMC CX;020.1/21M/HYA4A.TNNN;n/a;finoox;256-1FYB.0YF.3Z2.00NN-C26.01.0000.000;GAMC-CX-020.1-H/2-4.0-AN1-LL-E80AC-1103;1258;A;2;1;1103;Axial;2,528;1,74;1,45;12,59;612;1500;5;VT03033U;0,038;0,16;B;44,81;66,13;1,3;;230V-1~N-640W;AY7.004852;MiniCompact_2_04_1_rl;1350;527;157;1302;492;15,6;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;195;;;;;;;;no;no;L;E;Aluminum;4;16;8;yes;piece;1
GAMC CX 020.1/21N/HYA7E.TNNN;GAMC CX;020.1/21N/HYA7E.TNNN;n/a;finoox;256-1HLA.0YE.3Z2.00NN-C26.01.0800.000;GAMC-CX-020.1-H/2-7.0-EN1-LL-E80AC-1102;1523;E;2;1;1102;Axial;2,78;1,902;1,566;7,44;916;2000;8;VT03033U;0,069;0,26;C;48,1;69,42;1,3;230V-1~N-640W;;;MiniCompact_2_04_1_rl;1350;527;157;1302;492;16,5;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H17LA13100320230;0;;AY7.004852.1;2;75;1310;0;;;no;no;L;E;Aluminum;7;16;8;yes;piece;1
GAMC CX 020.1/21N/HYA7A.TNNN;GAMC CX;020.1/21N/HYA7A.TNNN;n/a;finoox;256-1FYA.0YE.3Z2.00NN-C26.01.0000.000;GAMC-CX-020.1-H/2-7.0-AN1-LL-E80AC-1102;1284;A;2;1;1102;Axial;2,78;1,902;1,566;7,44;916;2000;8;VT03033U;0,069;0,26;C;48,1;69,42;1,3;;230V-1~N-640W;AY7.004852;MiniCompact_2_04_1_rl;1350;527;157;1302;492;15,5;9,52;9,52;n/a;n/a;Inclusive;No;Yes;200;EC motor;5060;1;;;195;;;;;;;;no;no;L;E;Aluminum;7;16;8;yes;piece;1
GAMC CX 020.1/21N/DYA7E.TNNN;GAMC CX;020.1/21N/DYA7E.TNNN;n/a;finoox;256-1HL6.0YE.3Z1.00NN-C26.01.0800.000;GAMC-CX-020.1-D/2-7.0-EN1-LC-E80AC-1102;1251;E;2;1;1102;Axial;1,809;1,237;1,032;3,72;1045;2000;9;VT03033U;0,071;0,26;D;47,2;68,49;0,6;230V-1~N-320W;;;MiniCompact_2_04_1_rl;1350;450;157;1302;414;12,6;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H17LA13100320230;0;;AY7.004851.1;1;75;1310;0;;;no;no;C;E;Aluminum;7;8;4;yes;piece;1
GAMC CX 020.1/21M/DXA7E.TNNN;GAMC CX;020.1/21M/DXA7E.TNNN;n/a;finoox;256-1HL2.0YF.3Z1.00NN-C26.01.0800.000;GAMC-CX-020.1-D/2-7.0-EN1-CC-E80AC-1103;1127;E;2;1;1103;Axial;1,149;0,794;0,676;2,48;661;1500;7;VT03033U;0,039;0,16;C;44,68;65,8;0,4;230V-1~N-220W;;;MiniCompact_2_04_1_rl;950;450;157;902;414;9,6;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H17LA09100220230;0;;AY7.004850.1;1;75;910;0;;;no;no;C;E;Aluminum;7;8;4;yes;piece;1
GAMC CX 020.1/11N/DYA7E.TNNN;GAMC CX;020.1/11N/DYA7E.TNNN;n/a;finoox;256-1HKY.0YE.3Z1.00NN-C26.01.0800.000;GAMC-CX-020.1-D/1-7.0-EN1-LC-E80AC-1102;903;E;1;1;1102;Axial;0,864;0,603;0,51;1,86;522;2000;7;VT03033U;0,035;0,26;D;44,45;65,48;0,3;230V-1~N-170W;;;MiniCompact_1_04_1_rl;750;450;157;702;414;6,7;9,52;9,52;n/a;n/a;Inclusive;Yes;Yes;200;EC motor;5060;1;H17LA07100170230;0;;AY7.004849.1;1;75;710;0;;;no;no;C;E;Aluminum;7;8;4;yes;piece;1
